Sample_Name,M3-Fe_(mg/kg),M3-Al_(mg/kg),M3-P_(mg/kg),M3-K_(mg/kg),M3-Ca_(mg/kg),M3-Mg_(mg/kg),M3-Mn_(mg/kg),M3-Zn_(mg/kg),M3-Cu_(mg/kg),M3-B_(mg/kg),M3-S_(mg/kg),M3-Si_(mg/kg),NH4-N_(mg/kg),NO3-N_(mg/kg),As_(mg/kg),Cd_(mg/kg),Co_(mg/kg),Cr_(mg/kg),Cu_(mg/kg),Ni_(mg/kg),P_(mg/kg),Pb_(mg/kg),Si_(mg/kg),Zn_(mg/kg),d13C,%C,d15N,%N,Bank_Depth_(in),Total_Depth_(in),%_Depth,Classification,%Sand,%Silt,%Clay,%Coarse,%_Fine,Nitrifier_Copy#_Total_(copy#/g_soil),Dentrifier_Copy#_Total_(NosZ)_(copy#_/g_soil)
SM3_132,344.3437964,813.4623934,22.78073619,22.87833181,238.2483581,57.75800782,20.16218068,1.51669884,2.175290296,0.09,13.7001082,283.466346,0.804722,3.611724,3.097928992,0.1,8.877891858,24.69901877,19.13917319,13.5603471,372.4078898,5.382051023,1215.116408,48.711909,-27.63168,1.7045456,3.945184,0.1047304,132,156,85,Bottom_Layer,49.16,44.6,6.24,0.49,0.5084,40160,11270707
SM3_156,355.2339066,594.4884489,8.916993393,20.88147334,340.3188961,84.71520634,18.73364364,3.824045467,1.122953851,0.126147054,16.557009,244.2323483,1.622295,2.6817,1.899329023,0.134943273,3.410130393,14.37050862,9.161692811,6.104460358,208.1991067,3.191128053,1688.642504,29.80790988,-28.129276,2.880959,7.880006,0.1592922,156,156,100,Bottom_Layer,71.17,25.868,2.962,0.71,0.2883,10338,21362220
TM_12,215.0360541,960.5453528,7.130908819,36.60916717,225.0455104,77.67686865,45.69736844,1.602871221,2.2293254,0.09,14.41687967,242.2049754,2.360163,3.782076,3.808359492,0.1,19.97771733,47.06371841,37.45383435,32.21573252,610.2625587,19.53571542,1392.181285,98.78503762,-25.432927,0.9644273,12.064158,0.0908443,12,72,17,Top_Layer,12.07,75.76,12.17,0.12,0.8793,193599,146875
TM_32,188.9156595,989.5340389,6.050425234,103.7274651,479.966155,118.2661159,217.987645,1.287878416,2.240722384,0.09,15.73047997,239.3615224,2.489193,4.362782,2.139044485,0.1,20.3911472,50.30314747,37.85978227,33.60513552,631.6563091,16.47236102,1873.758871,97.07233678,-25.030058,1.0827356,11.321128,0.0905078,32,72,44,Upper_Middle_Layer,1.07,83.41,15.52,0.01,0.9893,33496,734683
TM_52,288.0711978,674.6399584,28.95630486,141.7862549,980.972119,213.7961916,107.9117609,3.702549876,2.646651384,0.287497412,9.490019448,330.2621705,4.710064,4.583676,2.3892716,0.1,16.43742274,41.66014587,30.82692644,29.17214809,642.1653,16.74316858,1736.264221,91.62348628,-27.170468,1.8404784,9.070712,0.1386688,52,72,72,Lower_Middle_Layer,41.16,51.873,6.967,0.41,0.5884,340599,827731
TM_72,437.7754419,645.6097309,51.45311877,189.5399856,1692.698052,352.2625491,86.39710155,7.70368158,3.15289086,0.4904345,17.55648977,424.4786808,11.26215,3.42942,2.112309639,0.175632626,18.00754537,50.66916767,40.7423974,38.16436855,1084.936571,24.11131995,1848.733283,124.8125627,-27.7832,4.516394,5.95264,0.32707,72,72,100,Bottom_Layer,33.3,59.092,7.608,0.33,0.667,1342986,2209089
WM_12,291.9349137,918.4326277,6.330144135,29.88454825,190.2257915,69.88310465,24.36524395,6.98382733,4.62778284,0.155011243,10.7351234,266.0876366,0.9041585,3.103979,3.866151218,0.170369413,15.18665743,40.00986922,37.02004799,27.13352517,492.2404202,26.42491441,1568.007595,105.5319134,-25.36078,1.2922278,6.912672,0.0725609,12,48,25,Top_Layer,44.61,48.443,6.947,0.45,0.5539,100244,1007371
WM_24,339.2239739,1249.515127,3.553492765,31.77231737,106.9517174,36.30613045,45.06319556,5.05792162,4.972692995,0.09,57.26839346,245.707094,0.5444975,3.09182,5.773206889,0.1,17.9071638,45.9238336,51.14641781,31.27611639,554.3416146,15.41146033,1184.500272,109.7673002,-25.940605,0.9588905,14.058275,0.087879,24,48,50,Upper_Middle_Layer,5.05,80.49,14.46,0.05,0.9495,19643,952216
WM_36,284.4743569,1058.043123,6.933620116,39.77843003,202.6517253,76.46361175,65.27290313,2.868793159,4.686506553,0.166969703,59.47133756,230.4337932,1.0016755,3.179364,4.383240037,0.1,22.01306242,39.58751041,46.01302162,25.35987269,493.7129711,21.91205545,1284.226023,96.02809789,-25.277052,1.0867339,9.217969,0.0723641,36,48,75,Lower_Middle_Layer,32.37,57.966,9.664,0.32,0.6763,31283,1569560
WM_48,372.7370369,1016.775663,40.39943162,88.10869704,1032.589413,257.9054999,84.92426867,6.480810544,3.990515606,0.401888489,24.46226908,344.206486,7.815689,1.68135,6.473448148,0.351406882,15.12993508,48.51750625,40.18370522,34.88695373,878.036276,26.95902658,1724.145797,119.7940233,-26.911417,3.0194635,7.625312,0.2331565,48,48,100,Bottom_Layer,17.73,70.76,11.51,0.18,0.8227,153850,2046297
